	gene	pval	qval	log2fc	mean	zero_mean	zero_variance
200	si:ch211-162i8.4	0.6679128344611995	0.8250972063185716	-1066.130203528157	0.0036007755005474117	False	False
201	si:dkey-247i3.6			0.0	0.0	True	True
202	znf1072	0.33269756434231157	0.8250972063185716	-1068.145309330381	0.014554702604013215	False	False
203	si:dkey-247i3.5			0.0	0.0	True	True
204	si:dkey-54j5.2			0.0	0.0	True	True
205	znf1000			0.0	0.0	True	True
206	dcn			0.0	0.0	True	True
207	fbxo18	0.6050503080607863	0.8250972063185716	0.20790695332019637	0.032066748665316114	False	False
208	CABZ01015815.1	0.5705214755558157	0.8250972063185716	0.4093105858213825	0.04801927285654718	False	False
209	CABZ01015815.3	0.6679128344611995	0.8250972063185716	-1066.1493914446107	0.003648985885032574	False	False
210	CABZ01015815.5	0.6679128344611995	0.8250972063185716	-1066.178849002846	0.003724258280626213	False	False
211	CABZ01015815.2	0.5419961310840583	0.8250972063185716	-1066.6900014893556	0.0053077691128612875	False	False
212	CABZ01015815.4	0.6679128344611995	0.8250972063185716	-1066.0982906011905	0.003521999555022873	False	False
213	glt8d2	0.059614207189001074	0.6602566568615998	2.6589860111084653	0.016318776219347377	False	False
214	prdm4	0.7004520143515022	0.8491247907162616	-0.5277610321154729	0.02554270051757004	False	False
215	znf1055			0.0	0.0	True	True
216	rpl18a	0.7893418694825083	0.8958232551541411	0.09563153943304312	0.6037162604482413	False	False
217	hsp90b1	0.5551839216286886	0.8250972063185716	-0.2766561138781623	0.29349030625836514	False	False
218	si:dkeyp-4f2.3			0.0	0.0	True	True
219	si:dkey-48p11.3			0.0	0.0	True	True
220	acot18	0.38678940539676054	0.8250972063185716	-1067.7719134620977	0.011235695978721146	False	False
221	si:dkey-201g16.1			0.0	0.0	True	True
222	si:dkey-240n22.6-1	0.9467634553364419	0.9762522871138485	-0.3924442743089467	0.04304129745816334	False	False
223	znf1090			0.0	0.0	True	True
224	cep83	0.06116192652141272	0.6602566568615998	2.1570217790062807	0.014664367561845621	False	False
225	ano6			0.0	0.0	True	True
226	si:dkeyp-4f2.3-1			0.0	0.0	True	True
227	znf1065			0.0	0.0	True	True
228	znf1137			0.0	0.0	True	True
229	si:dkey-247i3.1			0.0	0.0	True	True
230	ano2b	0.7850517998636153	0.8958232551541411	-0.5389189874719539	0.0604060354996447	False	False
231	si:dkey-16p6.2			0.0	0.0	True	True
232	BX571954.2			0.0	0.0	True	True
233	slc41a2b	0.45419064168464385	0.8250972063185716	-1067.8460017327072	0.011827767286219714	False	False
234	si:ch211-76m11.5			0.0	0.0	True	True
235	lrrc17	0.5419961310840583	0.8250972063185716	-1067.0286363992182	0.0067119898072690466	False	False
